5595	1414	6720	-4227	176
-9148	-1102	5599	-4047	9421
-9213	-6310	-2690	7509	-9277
1935	-8561	8825	-8522	3331
4667	1612	609	-8084	-6163
-1062	-7267	-6420	2876	-1940
-7666	5440	3753	-9968	9115
3952	8822	600	2748	4818
-2651	-8658	3401	4053	-1735
8932	-2642	-8334	18	9044
-9337	-7447	-253	-8779	-7167
-3950	9295	-933	-7819	-5957
-7119	-4209	-8572	-5641	-1682
9279	5323	-513	-7078	-3808
9372	-1359	1112	-5798	4231
3084	769	-7352	-5505	-5909
-9092	-5485	-9239	9571	5042
-6033	-1377	-577	-688	-2205
2641	-1345	9484	2270	2159
-9349	1820	3732	-6578	8492
780	4407	7513	6855	6250
7602	8744	-8821	19	9038
4770	1417	7833	9964	-1364
6715	507	6788	-5834	-9875
-3179	-3534	-9824	-4427	-6044
8820	2812	1390	-7093	4305
-6806	-1606	-284	761	-3870
-2387	-2339	8805	4003	-535
-5464	9252	-8686	8273	2030
-227	3202	-7879	6642	-9767
5516	-464	738	-5651	-4949
6615	-4803	-3218	6307	-5204
-9114	6861	-9615	-2584	-487
7158	-9029	-6748	-7119	-7466
-1229	7164	1114	3169	3553
-9461	4487	-6390	-8117	-4618
2088	4718	-7055	-9575	-3026
9685	-5649	5443	9743	3917
-7696	-8477	5420	4520	3629
-1053	-6390	-6235	-2781	7700
-726	5490	2916	2976	4738
-2940	6651	1539	5394	815
-6360	-3878	-4028	3583	-5659
-2654	-2421	3711	-9884	3990
5476	6456	-6608	-690	9392
2781	-5787	-9072	7846	-9435
5763	3345	-2176	-2455	-6706
7385	1404	9336	3693	-1825
-9186	-110	4298	-3454	-3215
-4625	6251	-9860	2454	8523
-174	-6921	9602	7335	8544
-4890	-4751	303	3230	790
-792	2422	5006	-2413	1878
3038	7096	-6271	-5624	8218
-7468	6441	-9325	4585	-7679
-5374	-4523	404	-6115	-4505
-5026	-2056	3653	-5938	4888
-8666	7430	-7320	9275	-4141
-7860	7125	960	-6747	-922
9048	-5503	-4299	-575	1709
4858	8673	3198	4954	9812
7740	2323	6774	7960	938
-6711	1753	-9076	-4710	-9984
3235	-3725	-2391	-7894	1389
8469	4191	-4684	-3665	8118
4762	-4986	-4551	5093	4100
9354	8968	-1485	-2256	-6456
-8314	-4277	9168	1999	8484
1935	3899	5264	-8300	-7938
-6561	3060	5854	-298	8448
7331	4349	6411	1283	4711
6463	-351	-3293	5370	-2864
5538	8091	-2477	535	8208
5874	-1180	-521	-4049	4847
-8992	6366	4359	1607	-5307
28	-4222	7546	-9663	-1276
9736	-8048	9839	-5259	-659
2649	-436	9422	4137	-3676
7948	4496	-7105	-3182	-8569
-6241	2032	-5838	3721	-1109
-1435	9578	2649	-2296	-1442
-3871	4009	-4947	9460	-3485
8058	837	5360	-4624	8618
-9076	-5610	3359	-3999	3312
-3065	-1416	7457	-3208	-3461
1947	-8172	53	-4543	-4781
-9423	7560	4264	-9972	1924
8289	4168	3139	-4220	2893
4488	489	-437	7020	2948
2346	6945	1895	3406	-1120
-3618	-1004	9428	-57	-7523
2672	4766	-1769	5873	-3533
8583	-6984	-4652	-4996	4834
4022	-2904	9761	6819	2012
8404	-3792	-5970	5345	-9599
-8184	-681	1128	4228	-342
-88	9287	7563	1953	5526
-3905	-4368	-6026	-82	-9654
3320	-2648	-5761	-2200	-1473
2694	-9199	-1487	-5006	-1077
1735	5032	-4868	-9227	-8313
-3023	-5305	3102	-2231	-8402
-8540	-7709	-9747	3949	9164
2929	5795	6551	-944	-873
-8745	-9837	-3666	-468	-9924
445	5870	-6273	8795	2739
-7323	-8495	5464	3515	-4722
5383	-9967	-5259	-4245	-7946
-5484	8141	-5610	117	2846
906	9275	3645	-3735	7782
4147	1502	10000	-6323	2004
-2299	3261	3739	9037	1214
-6994	6115	743	3718	-1661
3032	-7070	-8275	-175	6867
-1089	-3245	5262	-3088	3760
-7938	7167	-6333	-2373	-234
6826	-5881	-8384	-1709	-4089
-907	-3780	283	6398	916
-2657	-9570	-5378	1143	3730
6968	4394	135	-678	2670
-7474	6022	-8120	1846	-3837
-7872	-1189	3210	3765	2190
6718	4786	3392	-7107	5924
-7593	6996	-7903	-6821	-6104
6619	-7711	9042	5124	-8796
6089	2790	3029	6824	-7167
-1084	8250	8002	-5716	4238
4688	2099	-438	-36	7188
-1752	-7933	-5209	-7583	-1194
4870	6368	-3919	4474	5267
-9185	233	7165	6334	9385
-6687	9593	9064	6541	8504
-7063	1244	-1941	-6118	2721
-3035	1291	-3134	5468	-8340
-8159	-3173	-1713	-5117	-4321
2792	-388	-3078	9182	-5839
4480	330	5208	-6259	5256
4340	-5429	9818	5839	-76
8031	5776	8461	1499	5775
84	-4051	833	190	260
-3384	-1409	419	-942	-3106
-1995	-4512	-7165	854	-4375
-1363	-6877	1262	-335	-6725
9107	8394	-8630	8999	49
1501	-3160	-6201	-2386	-2633
8625	-3499	2398	-4862	-1083
-3564	-1955	-234	4028	6838
2849	-3931	-3077	5254	-9924
-6672	-7468	-4625	1411	3505
-2417	9981	-7247	5228	5753
-1335	3428	-3493	-1412	-6614
-8067	-8159	7896	8007	-7535
-7720	8548	-9633	9360	-9381
7693	2123	7128	-3898	-6555
-1849	8367	8215	-8354	5995
2032	-4033	9617	-2917	1498
-1780	-1852	-2297	6332	389
5214	-7107	5862	5682	-8231
4182	5016	7054	1723	595
-7745	-5511	553	-4237	-9231
-255	9894	2430	6719	-3240
-6255	-5211	8434	-3885	-2330
2651	-8730	-3825	-6220	-8396
5347	8079	1761	6512	82
1480	-2756	4870	7113	-7723
2616	700	9567	-6217	399
-2301	2853	13	-106	-7214
-5450	594	4115	-639	5519
-8766	1459	3628	8069	888
-2406	-8610	3478	-4144	3927
-8679	894	8601	-3164	-3420
-6094	7112	-4479	-1183	2682
5231	645	5739	7714	4506
-7364	-3042	-2983	3409	-2313
-1100	-3893	6907	1227	-9596
8773	-7219	6673	-2860	-4589
-7640	1006	-8282	5829	-703
-907	8311	-7137	-3392	6685
9014	-7493	3898	4843	-2834
8085	5961	9102	-2648	7715
-8606	7941	-6384	9976	-3140
4515	-3535	-6217	9141	-7421
-5318	-3604	9139	-3894	3441
-9846	-8342	-3550	9326	-7934
-916	-7406	5025	5223	4945
-766	-4843	-5722	-5499	-5222
-7276	-6394	-3871	2997	2711
-9898	-5169	-2966	1306	-6713
6167	-1641	1673	-5000	6422
-6901	-2154	7889	9849	4023
-4451	-904	-7516	8916	3118
8542	-8789	7851	-6688	-3518
3271	1840	7758	-4089	7543
-432	-5984	5380	7094	5059
6145	-4809	-942	-6349	-508
5562	361	-9165	-875	-1604
-118	6725	-202	-618	8167
-2103	-942	193	-8134	-1862
-7237	6886	-1554	-1616	9648
-3185	6810	-9739	-7326	-7014
3307	-4019	-2107	-8122	6073
-2882	-1440	9845	2814	9922
-8660	6523	7211	3359	-1133
6695	-6738	-5390	-6904	473
-4239	-6307	-6271	8235	-5449
1325	-3038	731	-6239	8761
3921	-5782	-5494	-9955	-4268
-9843	4910	-5639	5806	5609
7511	2861	9630	5073	-762
4330	1554	673	-8481	-7913
8588	1941	2066	-9678	-1375
2178	-8542	-3779	805	964
4381	5247	3936	3269	-8087
45	-6368	-7926	-996	-206
1443	2946	4038	1362	-9675
2777	-9940	5066	-5423	-9570
6179	6782	1711	3875	6910
-4376	8827	-4371	6391	-6440
9073	7933	9997	-9028	8292
-1910	5299	1924	7674	-1524
195	9259	4431	9229	-3475
5100	-9419	-2373	-3974	624
-463	-2156	741	9056	5245
1046	-3597	8894	-8545	3622
-6631	-122	72	-1345	140
6659	-7929	7782	5710	5030
-3647	-2122	7795	-385	9236
-2826	4194	-3834	-382	7195
2324	8583	6008	1423	9872
5597	9252	1942	-9660	4605
-8353	-8121	2257	5233	5920
-2349	5955	-9610	-6834	-3134
-43	710	-7109	-2786	3645
-4871	-1774	-4774	247	-3383
8435	-8934	-9049	3995	5766
5629	-8815	9455	654	9525
6546	1695	4842	4872	-9315
-2968	7941	-6867	187	-905
9009	3819	506	3180	1475
6827	-6886	6543	9095	5192
9315	-3565	-1348	7774	-7278
-2572	-8504	-8507	-3406	4189
657	106	-3574	-6566	-8305
5580	249	-8590	3047	-5364
9300	3942	6576	-981	4773
4840	3606	-5368	-6367	7469
-665	-3903	-3021	8523	-4205
-7632	-9213	2	-5846	-9680
158	1874	-4076	994	1768
7869	-1278	9603	9437	-1440
-8227	6952	-2253	2386	-506
3220	3921	-4664	4247	-4958
4193	-9896	-4736	4024	-3683
8533	7886	-4627	-4764	-2168
-7007	-7925	2707	-3445	3802
-4449	-5374	9650	5493	6991
-5918	2076	-9869	-6164	-5048
-4617	-6005	-4279	-2022	-8432
3716	-8162	6904	2286	-1460
-6362	7850	-6469	2832	-7680
-8246	6981	-1280	3556	-1154
6406	1673	-2100	4673	-8315
-5359	9283	3031	-2423	-3391
-298	-6550	8929	4387	-1537
8112	1385	4537	4730	187
3546	-1224	4763	-3761	-8162
4086	-1188	-4512	-1686	-264
-318	312	-5838	-6307	7976
-4768	-7690	7641	-2479	5047
2402	-9778	6204	-1542	-7875
4706	1878	-3840	3364	7967
-4065	9558	-3666	-8749	-9908
9097	-2284	-6194	-3082	-3364
-6263	-7900	-1937	-8895	-3198
-5917	-9462	8143	5886	-1942
8740	-8929	3208	5397	8869
2966	921	-6103	-5923	-5265
-8016	-4561	-143	-4438	-9754
8450	-2517	-5084	5876	4252
2964	-3883	-9142	-7602	7444
-5340	-1799	-7907	-6104	-4581
-6255	-4871	-9646	-9707	-8383
-9630	-563	8524	-1199	-2165
1698	-1403	-9281	-7960	6616
5340	-907	-6542	2605	-8341
-73	345	-4817	-5432	-2774
8459	3742	-2666	-1720	-6963
-2951	530	8585	-7927	-3449
-304	-2025	-6609	-2324	-8890
